CPUNano,CPU,AvgCPU,MemPerc
10250000,26.43443631814053,26.43443631814053,0.08%
82064000,7.171185291958282,7.889255184083716,2.26%
152344000,7.018387153740685,7.462102969414085,4.45%
217698000,6.526660670828548,7.1542741458416135,6.64%
291457000,7.367397360380358,7.207035245610016,8.82%
357532000,6.598102909257504,7.08617483397304,11.02%
423061000,6.544789899245342,6.996530318078781,13.22%
489298000,6.615093604458353,6.942340261136996,15.41%
569992000,8.058537671433621,7.081196011566412,17.58%
635792000,6.5708555112272675,7.0247310994257015,19.78%
702128000,6.625087987577241,6.984922649199092,21.98%
782479000,8.022563997655212,7.078942829417271,24.14%
961833000,17.90889966390034,7.978644041889199,26.10%
1140817000,17.870647474203928,8.737442666438017,28.05%
1316346000,17.528794401938455,9.363664606146394,30.02%
1497310000,18.085223928424625,9.943195637170477,31.97%
1671946000,17.438405305905324,10.410567938219291,33.93%
1846948000,17.47360672571446,10.825170641189501,35.90%
2035287000,18.804854717183463,11.267618874360819,37.83%
2210155000,17.460782526075455,11.59295370775955,39.79%
2385068000,17.46641810928391,11.886077014788848,41.76%
2559038000,17.38745451350899,12.147362362038958,43.73%
2734476000,17.52192515554384,12.391213457275219,45.68%
2910538000,17.57989611559683,12.616466624313972,47.65%
3084566000,17.37649363939685,12.814516492680832,49.61%
3279496000,19.465118106428996,13.080153330966851,51.54%
3453105000,17.33370791903909,13.243543982998112,53.50%
3626011000,17.265519933089994,13.392307406550222,55.47%
3798837000,17.273721289983225,13.53062593306707,57.43%
3971551000,17.25973014413818,13.658964054957426,59.39%
4146403000,17.46051347049026,13.785532742695525,61.36%
4515543000,36.85311736026174,14.52896913921011,18.13%
