CPUNano,CPU,AvgCPU,MemPerc
10391000,28.144900053914373,28.144900053914373,0.07%
80724000,7.023780080858885,7.774818518005421,2.26%
149783000,6.895190941045644,7.342922458401066,4.45%
215287000,6.541939159620262,7.079197633973373,6.65%
288545000,7.315434921199721,7.137718292424565,8.83%
353650000,6.501905793925402,7.011494944781139,11.03%
419899000,6.616132684701928,6.94600709758227,13.22%
485510000,6.553689127656581,6.890267105862821,15.42%
566623000,8.100072877787596,7.040804812608928,17.58%
633098000,6.639342744160298,6.996384612631974,19.78%
698613000,6.542354116063449,6.9511457730707935,21.97%
777376000,7.864384568702959,7.033903226887915,24.15%
956189000,17.8575835040665,7.93309019425881,26.10%
1132355000,17.588707300301962,8.67388749249709,28.06%
1305528000,17.290998109463754,9.287863527667346,30.03%
1485403000,17.9586704255644,9.864619615817654,31.98%
1657853000,17.225027133188362,10.3234851759409,33.95%
1831425000,17.328926625856127,10.734774365653786,35.92%
2016211000,18.45362119680163,11.162704975918306,37.85%
2189917000,17.34330349603072,11.487424609688695,39.81%
2364289000,17.413002682516343,11.783154216966937,41.78%
2537612000,17.304174711545116,12.04565454477886,43.75%
2711531000,17.365926131603484,12.287099243909754,45.72%
2884977000,17.320265183299853,12.50557963857669,47.68%
3058634000,17.341336809090173,12.70675808741558,49.64%
3254390000,19.54519801130416,12.979929199322,51.56%
3426854000,17.221554858900827,13.142840825600949,53.53%
3600438000,17.33117637878714,13.297774833799789,55.49%
3774330000,17.363221789997013,13.442787876569037,57.46%
3948043000,17.344004993549436,13.57716029167121,59.42%
4121808000,17.350969609806434,13.702803839423916,61.38%
4499866000,37.744937684546365,14.477566567310184,16.53%
