CPUNano,CPU,AvgCPU,MemPerc
10633000,29.064071832456246,29.064071832456246,0.07%
80286000,6.956747555430789,7.736067850658975,2.26%
149108000,6.872462037426221,7.3119719556089775,4.44%
213454000,6.4254142919823245,7.019987682242496,6.64%
286661000,7.311406033106955,7.092178111746976,8.82%
351865000,6.510637942957691,6.97669876615568,11.02%
416977000,6.5027585999896305,6.898191462153208,13.22%
482004000,6.492725855063274,6.840559730166603,15.41%
566669000,8.45710724914745,7.041661665191732,17.57%
632119000,6.536169582604545,6.985722857587619,19.76%
697391000,6.517695726631337,6.939085944604276,21.97%
775621000,7.812384937590819,7.018213854458712,24.14%
956081000,18.03665971576619,7.932924697985386,26.07%
1134388000,17.80207070988436,8.69018433836539,28.03%
1308006000,17.33730580235052,9.306284447108562,29.99%
1487518000,17.923588371565423,9.87949258066205,31.94%
1660932000,17.320323885122654,10.34343327730861,33.90%
1834045000,17.28315629839841,10.750891663348563,35.87%
2023158000,18.882381104631584,11.201804842852534,37.80%
2197616000,17.418614663582858,11.52844051627806,39.77%
2373375000,17.547331890841797,11.828910696650182,41.73%
2548095000,17.445641310761005,12.095942742954238,43.70%
2722694000,17.433788873956022,12.338195559765197,45.66%
2896421000,17.348154703096004,12.555679275224863,47.62%
3069726000,17.30395003034993,12.753249992221486,49.59%
3266605000,19.675742496441647,13.029538726835293,51.50%
3441659000,17.48737848702447,13.200698162263343,53.46%
3616949000,17.502231194996583,13.359825719000995,55.43%
3791283000,17.407563224657757,13.504216559681307,57.39%
3966309000,17.476108090079006,13.64102588870622,59.36%
4141108000,17.4604249562914,13.768153035408758,61.32%
4506850000,36.51857136978812,14.501287972762194,18.14%
