CPUNano,CPU,AvgCPU,MemPerc
13285000,35.55109359820205,35.55109359820205,0.07%
84228000,7.086062438243417,8.11029997177148,2.26%
154837000,7.051605772044272,7.59060981683782,4.45%
221040000,6.610706905727288,7.267943603739255,6.64%
295444000,7.431271077338857,7.308395538100294,8.82%
361886000,6.635521050335651,7.174815765635071,11.01%
428350000,6.6370375890287505,7.08573144167038,13.20%
494635000,6.6197389674490115,7.019513531382347,15.40%
577093000,8.239160834764382,7.171194028318051,17.56%
643360000,6.620535030605386,7.110279681699683,19.75%
709994000,6.653782370118501,7.064790291703321,21.95%
789198000,7.908600613051946,7.141258529872509,24.12%
969835000,18.03569156296575,8.04655464756464,26.07%
1148525000,17.840689786862754,8.79800151555388,28.03%
1323369000,17.45939299870492,9.415098116890329,30.00%
1504863000,18.13973714342107,9.994872530892106,31.95%
1680701000,17.556484673095426,10.466501704073906,33.91%
1856752000,17.57640683222172,10.883952149656615,35.88%
2042359000,18.524302875456915,11.307801848757565,37.82%
2217584000,17.497269724434503,11.632955844565604,39.78%
2391420000,17.354443666917398,11.918587902534927,41.75%
2564719000,17.319959780642574,12.175147157898799,43.71%
2738884000,17.39474741609274,12.411983059107882,45.68%
2913579000,17.451233357763595,12.630668473092957,47.64%
3088108000,17.423326690674852,12.830126462112448,49.61%
3285094000,19.668402609763167,13.103304601292724,51.52%
3459875000,17.45152948790572,13.270334486523927,53.48%
3634376000,17.42625163442449,13.424048863248872,55.45%
3808905000,17.42417462767803,13.566762380198618,57.41%
3983504000,17.443495055752877,13.700217830527773,59.38%
4157375000,17.37693115890126,13.822533555441986,61.34%
4520669000,36.27355982907505,14.546046852859874,20.70%
