CPUNano,CPU,AvgCPU,MemPerc
10955000,29.829044585640396,29.829044585640396,0.07%
80659000,6.961336096755261,7.770407076260087,2.26%
149110000,6.835886332637191,7.311550834247582,4.45%
213660000,6.445120532540489,7.026189283303776,6.65%
286012000,7.22658307292992,7.0758250380773005,8.83%
350944000,6.484369494840752,6.958393620697385,11.03%
416471000,6.539743721329051,6.889005944898291,13.22%
482947000,6.638053364069503,6.853342869367084,15.42%
564350000,8.134825376409232,7.0126887693729945,17.58%
629027000,6.458380273097189,6.951344035667449,19.78%
694070000,6.49610298988376,6.905990434755199,21.98%
772952000,7.876004157206644,6.993896026373481,24.16%
951423000,17.829070103251105,7.8937793278029575,26.11%
1128526000,17.68499183937329,8.644892842089694,28.07%
1302894000,17.408645797948687,9.269395440298075,30.03%
1482956000,17.982145517708854,9.84881270489948,31.98%
1656584000,17.33537505528429,10.315747465453596,33.94%
1830331000,17.34954359552508,10.728637076568528,35.92%
2015786000,18.516664535302446,11.160496450964885,37.85%
2189736000,17.37039846099328,11.486711007057684,39.81%
2363189000,17.319638427003184,11.77784776881451,41.78%
2536425000,17.31304558652345,12.040771700568982,43.74%
2709983000,17.32962500512938,12.280808251055785,45.70%
2883646000,17.341401926111967,12.5004980725926,47.67%
3057206000,17.330519197581584,12.701461058911256,49.63%
3253832000,19.65016227258827,12.978804569296981,51.54%
3429056000,17.49445386954408,13.152280769272915,53.51%
3604084000,17.474901302595505,13.312197818982124,55.47%
3779045000,17.47096145286854,13.460541534842054,57.45%
3952793000,17.34636342992116,13.594401368288084,59.40%
4126305000,17.327386643315744,13.718682097390339,61.37%
4503113000,37.631109888054986,14.489098046287543,16.51%
