CPUNano,CPU,AvgCPU,MemPerc
10336000,28.126816347808546,28.126816347808546,0.07%
82369000,7.198487357696676,7.939820408393539,2.23%
152040000,6.957615656641493,7.457402560241073,4.42%
217525000,6.539835489676767,7.155181780474441,6.62%
291067000,7.3464948272557935,7.202572633327018,8.80%
356688000,6.553169674579137,7.07361162881508,10.99%
421472000,6.474187835126775,6.974356747983336,13.19%
486796000,6.523718711370375,6.91030140242389,15.38%
568373000,8.146191118211528,7.064123126540182,17.54%
633919000,6.546670607093982,7.006858584349278,19.73%
699338000,6.532692105150868,6.959604430732269,21.93%
775650000,7.621333018343803,7.019567847786565,24.10%
953852000,17.791544991012113,7.914840937681193,26.06%
1130520000,17.639016767051203,8.660990023115453,28.01%
1303971000,17.31844723875006,9.277927651861424,29.98%
1483775000,17.961095773484576,9.855286653866493,31.93%
1659060000,17.503130210438393,10.332268230010316,33.89%
1832774000,17.343930665268417,10.743951694098513,35.86%
2018336000,18.527376571193287,11.175592965644174,37.80%
2193022000,17.441634970710755,11.504824338343322,39.76%
2367283000,17.401529353779992,11.79914624675283,41.73%
2541656000,17.41058921375652,12.06594569020894,43.69%
2716100000,17.41973250906482,12.308913987476359,45.66%
2889924000,17.355734510651956,12.52803351703082,47.62%
3063199000,17.30290354195124,12.726697428782341,49.57%
3258160000,19.46655770775517,12.995940656094703,51.49%
3431258000,17.28582160955206,13.1607087691546,53.46%
3604791000,17.32675086074586,13.314823417139515,55.42%
3778423000,17.340617556524784,13.458405351312125,57.38%
3952025000,17.342469769948465,13.592125824672834,59.35%
4194002000,24.17108362452951,13.944242959906795,61.14%
4554205000,35.97548954181005,14.654023335425848,24.50%
