CPUNano,CPU,AvgCPU,MemPerc
10852000,28.937041562412524,28.937041562412524,0.07%
81941000,7.099000372989862,7.887310319239696,2.26%
151464000,6.9441389493087975,7.42444435630049,4.45%
216835000,6.5281543330262135,7.129348091042782,6.65%
290261000,7.3368380949073835,7.18071901286267,8.83%
356558000,6.622051841359666,7.069818757144619,11.02%
422879000,6.622758764331879,6.995756574422829,13.21%
488574000,6.560926817245126,6.9339638135830235,15.41%
569960000,8.127522869041417,7.0824809102939295,17.57%
635411000,6.535932289606864,7.021996503645794,19.77%
700685000,6.518098588578816,6.971787318500544,21.97%
779612000,7.88186806694362,7.054248317168755,24.14%
957435000,17.740975661535973,7.942884770082295,26.10%
1134302000,17.660791689235058,8.688332340172195,28.05%
1307467000,17.30267011419908,9.301669162219753,30.02%
1486390000,17.874106286818666,9.871570421851832,31.97%
1660066000,17.33964033281291,10.337362939302022,33.93%
1834090000,17.380128581831382,10.750711038194092,35.89%
2019269000,18.487817732255138,11.179776557579824,37.83%
2192747000,17.322069987782918,11.502460536757013,39.80%
2365577000,17.25680890969753,11.789683967564436,41.76%
2538962000,17.314675577789256,12.05231315715474,43.73%
2712101000,17.287919610681552,12.289921906953046,45.69%
2885509000,17.31362857996997,12.508030003423725,47.66%
3058496000,17.27485658649477,12.706338291730438,49.62%
3254121000,19.536756611181012,12.979129942540713,51.53%
3426954000,17.256279651402284,13.14342872661481,53.50%
3600507000,17.328056292726828,13.298228102413459,55.46%
3772476000,17.17213652556417,13.436403825391267,57.43%
3945078000,17.23289494325058,13.56717250062055,59.40%
4126389000,18.102447373886825,13.718186429634724,61.35%
4499633000,37.2653310219198,14.476986160799035,18.73%
