CPUNano,CPU,AvgCPU,MemPerc
10396000,28.495885420007312,28.495885420007312,0.07%
80172000,6.970558488196951,7.7274765127273355,2.26%
149240000,6.903181683514223,7.322805222167574,4.45%
214349000,6.506479439310617,7.05397926913523,6.64%
287166000,7.270797018165035,7.107724902472411,8.82%
351546000,6.42975374437653,6.973073788351522,11.03%
416473000,6.482865887902871,6.891830712905089,13.22%
481176000,6.462617911938551,6.830826768357564,15.42%
562059000,8.077770601787257,6.986015530041577,17.58%
628631000,6.650587839257279,6.948900417891337,19.77%
695766000,6.709926943772661,6.925102230193578,21.96%
775019000,7.915115865784088,7.014825299192242,24.14%
953003000,17.775293327394333,7.909000644923195,26.09%
1129523000,17.624829668332275,8.654591079871045,28.05%
1303265000,17.347094713485717,9.274122051676132,30.01%
1482472000,17.902451297392066,9.847875386191527,31.96%
1655816000,17.31038343553847,10.31332600254987,33.92%
1830640000,17.43381648624512,10.731919975530143,35.89%
2016947000,18.61136798123916,11.168691670594878,37.82%
2192845000,17.56362941936545,11.504700221195375,39.78%
2368051000,17.49446685288749,11.803710178579047,41.75%
2544025000,17.57041340877092,12.077908303953013,43.71%
2719458000,17.517103749407184,12.324785320165708,45.68%
2895502000,17.577444759953828,12.552852764319155,47.64%
3071376000,17.57352754522344,12.761627460930558,49.61%
3268537000,19.689546834655157,13.038358340540965,51.52%
3442489000,17.37620849915876,13.204934421822193,53.48%
3617808000,17.511883444402194,13.364215361477447,55.45%
3793655000,17.558781184594142,13.513855829937055,57.41%
3969090000,17.517106397726035,13.65175581274259,59.37%
4145014000,17.564788082874568,13.782067684461724,61.34%
4514833000,36.92957489156147,14.527970774517614,18.62%
