CPUNano,CPU,AvgCPU,MemPerc
100422000,252.42554449382925,252.42554449382925,0.00%
2685092000,258.08095038461005,257.8648814285177,0.01%
5260561000,257.19345498081407,257.5357265604555,0.02%
7848084000,258.3813659024409,257.81392259332574,0.03%
10414466000,256.25383180872467,257.42771651759085,0.04%
12995167000,257.6641578492333,257.4746366971235,0.05%
15588588000,258.9855561387771,257.7247796007901,0.06%
18164808000,257.22907898064994,257.6543607339298,0.07%
20756280000,258.7799862826452,257.7943625510296,0.08%
23336413000,257.5730152482283,257.7698711281007,0.09%
25918839000,257.91795892302156,257.7846182416604,0.10%
28496900000,257.4056879488088,257.7502912360129,0.11%
31071872000,257.1314087149333,257.69889033542313,0.12%
33641097000,256.5326780730537,257.6094509738157,0.13%
36222226000,257.7491898604388,257.61940349508666,0.14%
38807539000,258.12473624605514,257.6530066506904,0.15%
41398428000,258.7828776020062,257.7234292682999,0.16%
44003914000,260.23321659874034,257.87068547339624,0.17%
46589852000,258.44380722604404,257.90242957004943,0.18%
49179705000,258.62455960203556,257.9403570628238,0.19%
51751221000,256.7282838135592,257.87985903700996,0.20%
54341034000,258.6511736782898,257.916514337268,0.21%
56920353000,257.5297256136388,257.8989620585763,0.22%
