CPUNano,CPU,AvgCPU,MemPerc
100214000,253.473140241943,253.473140241943,0.00%
2698847000,259.56517486102234,259.3337342519995,0.01%
5293319000,258.96442867142247,259.15259096976644,0.02%
7874570000,257.8376643766166,258.72008840177057,0.03%
10445225000,256.6283751367513,258.2021437942797,0.04%
13004957000,255.64720813912766,257.6952337740888,0.05%
15588365000,257.93733957218797,257.73532574033646,0.06%
18169234000,257.67467926300606,257.7267094047095,0.07%
20756731000,258.24804825954294,257.7915837037073,0.08%
23343227000,258.297810006173,257.8475772475996,0.09%
25925581000,257.8305230573715,257.84587843980046,0.10%
28496946000,256.78284915917254,257.74959699082314,0.11%
31081917000,258.0922260792894,257.7780575306279,0.12%
33672945000,258.7376647502265,257.85164345701634,0.13%
36250986000,257.65145903082345,257.8373967797752,0.14%
38842501000,258.80514676579656,257.90173826409836,0.15%
41419379000,257.2840179476649,257.86322070540274,0.16%
44008072000,258.50023249705794,257.9006048201507,0.17%
46580102000,256.81057520753205,257.8401749620063,0.18%
49150621000,256.6931546313476,257.7799331891547,0.19%
51746705000,259.20737146255965,257.8511717501023,0.20%
54323591000,257.3143208814187,257.82565516407516,0.21%
56904593000,257.69364858453605,257.81966485925005,0.22%
