CPUNano,CPU,AvgCPU,MemPerc
103536000,251.99089380612193,251.99089380612193,0.00%
2665156000,255.78862891940716,255.6389586258272,0.01%
5254196000,258.5492040449049,257.0647679760318,0.02%
7819278000,256.1541552535455,256.76533247146875,0.03%
10400366000,257.72791473937906,257.0035478004729,0.04%
12992629000,258.8311696305978,257.36612723981705,0.05%
15576628000,257.90628259159035,257.455576748246,0.06%
18156633000,257.59918005501197,257.47597260268964,0.07%
20751008000,259.0542284917837,257.672239889361,0.08%
23342751000,258.76694777697475,257.7933278636294,0.09%
25931583000,258.5341388397748,257.8670945500612,0.10%
28527063000,259.1212930471598,257.9807031012169,0.11%
31119559000,258.91632497781916,258.05838924727976,0.12%
33707691000,258.6709643381684,258.1053209193171,0.13%
36279355000,256.8068326836385,258.0128452590487,0.14%
38856703000,257.5786967490435,257.98400306696374,0.15%
41447420000,258.7118284833259,258.0293765959233,0.16%
44028048000,257.80529144244804,258.01623148490444,0.17%
46607559000,257.5603582711911,257.9909588474746,0.18%
49202127000,259.0484691514337,258.04650867882975,0.19%
51794648000,258.86460169475407,258.08733442275474,0.20%
54379908000,258.18315420042364,258.0918881537277,0.21%
56967507000,258.3267593893038,258.1025473016105,0.22%
