CPUNano,CPU,AvgCPU,MemPerc
103306000,247.8597129284227,247.8597129284227,0.00%
2692420000,258.4664943861513,258.0428005333139,0.01%
5282015000,258.66691125134025,258.34840434371137,0.02%
7867390000,258.1391224109742,258.27959286877143,0.03%
10436597000,256.5318528654044,257.84714074784614,0.04%
12995432000,255.52329494367697,257.3862333442599,0.05%
15570281000,257.0567757957638,257.33169285890887,0.06%
18149437000,257.56246383271287,257.3644617422563,0.07%
20738266000,258.50800006544506,257.5066606062742,0.08%
23332406000,258.94325178492835,257.6655953759177,0.09%
25915754000,258.0209417782952,257.7009732791919,0.10%
28485488000,256.629111004001,257.60391110269234,0.11%
31061721000,257.2142950613512,257.5715517931125,0.12%
33647794000,258.2186471094575,257.6211706080746,0.13%
36229630000,257.77619683638136,257.63221208794295,0.14%
38817554000,258.4692124230092,257.68784529533247,0.15%
41386370000,256.4732671161116,257.6121227283549,0.16%
43968021000,257.8126705949221,257.6238895869644,0.17%
46537427000,256.67575579495264,257.5713589446525,0.18%
49112259000,257.0863360800795,257.5458849636986,0.19%
51686843000,257.0979407170785,257.52353538452354,0.20%
54272558000,258.1782761547587,257.5546539417687,0.21%
56861117000,258.48472601434776,257.59684932605904,0.22%
