CPUNano,CPU,AvgCPU,MemPerc
103995000,241.33917937531317,241.33917937531317,0.00%
2692689000,258.53170252924417,257.8223557167944,0.01%
5263453000,256.722345741151,257.28391604729006,0.02%
7852925000,258.5466884275172,257.6989451058073,0.03%
10435268000,257.8620825304194,257.73929636340335,0.04%
13020695000,257.98445800867785,257.7879392896073,0.05%
15605106000,258.07364029881865,257.8352114239519,0.06%
18180493000,257.13223076937663,257.7353959746971,0.07%
20754053000,257.03403377158304,257.64821730369476,0.08%
23338855000,258.30287404375747,257.7205577531774,0.09%
25928753000,258.6555505542075,257.81364568776434,0.10%
28508969000,257.62108448620296,257.7962060099697,0.11%
31100715000,258.8158310478964,257.88086846181943,0.12%
33685168000,258.0196735846711,257.8915128240211,0.13%
36275723000,258.6650352999434,257.9465988897516,0.14%
38852510000,257.1809727769463,257.89567970879597,0.15%
41444051000,258.7772256469934,257.9506276430311,0.16%
44028568000,258.08335569225534,257.95841512845976,0.17%
46610194000,257.7745341009613,257.94822354023694,0.18%
49193889000,258.00701201643943,257.95131048259947,0.19%
51778458000,258.02947623684946,257.9552110746027,0.20%
54359625000,257.7732290298862,257.94656418074396,0.21%
56940300000,257.64288777416044,257.9327853297032,0.22%
