CPUNano,CPU,AvgCPU,MemPerc
102200000,244.15063339172244,244.15063339172244,0.00%
2674955000,256.88409931273446,256.37324637737476,0.01%
5233791000,255.52302685738707,255.95686252174556,0.02%
7788626000,255.09735454267636,255.6742879876869,0.03%
10359010000,256.6316134860948,255.9111625684662,0.04%
12929930000,256.67138003264284,256.061961357294,0.05%
15501382000,256.8233746292521,256.1879561529641,0.06%
18076258000,257.1153032117167,256.3196435007767,0.07%
20640463000,256.0181030345193,256.28214390530894,0.08%
23215927000,257.1967304998195,256.38328287992783,0.09%
25777084000,255.93792807453872,256.338964024826,0.10%
28342052000,256.15673860934567,256.3224618763467,0.11%
30919733000,257.2298470594877,256.39786305946257,0.12%
33484440000,256.10131201651166,256.37512474574436,0.13%
36062996000,257.4873236056665,256.45432952570127,0.14%
38637315000,257.0396636422339,256.49324614008935,0.15%
41199704000,255.87973543287856,256.4550034533853,0.16%
43786449000,258.2744800945634,256.56177876277326,0.17%
46365181000,257.51795989723485,256.6147729886148,0.18%
48921051000,255.17398253673753,256.5390965000076,0.19%
51486847000,256.2328393298364,256.52381714587267,0.20%
54058020000,256.72007010408606,256.5331447700291,0.21%
56617627000,255.6052356776635,256.4910498657457,0.22%
