CPUNano,CPU,AvgCPU,MemPerc
98174000,252.07830958248317,252.07830958248317,0.00%
2669172000,256.7670168510432,256.59147535671474,0.01%
5233388000,256.06242661150304,256.3319831610023,0.02%
7784996000,254.97135016751312,255.8844254659114,0.03%
10355118000,256.6566361093465,256.0756529279286,0.04%
12919677000,256.1427319554865,256.08896533609595,0.05%
15475911000,255.33719942726637,255.96448732646476,0.06%
18040535000,256.0299996386303,255.97379844540842,0.07%
20586688000,254.2964770633642,255.76514991885068,0.08%
23152604000,256.45593711736836,255.8415238503483,0.09%
25713602000,255.7398290560351,255.83139172609825,0.10%
28282456000,256.44648133289303,255.88713755817344,0.11%
30846256000,256.04707069956976,255.9004228575125,0.12%
33420724000,257.0549557077174,255.98899012478034,0.13%
35997631000,257.32202675528487,256.0839570367936,0.14%
38559311000,255.73209364989373,256.0605510404513,0.15%
41129172000,256.6633845500993,256.0981347420207,0.16%
43685671000,255.24727626463476,256.04818600243846,0.17%
46259041000,256.98493244144976,256.1001173720264,0.18%
48822981000,256.19403645544196,256.1050478217298,0.19%
51392753000,256.66939666945666,256.13320778939175,0.20%
53957000000,256.01758160977687,256.12771041881103,0.21%
56532868000,257.2381335173535,256.1780973279762,0.22%
