CPUNano,CPU,AvgCPU,MemPerc
107009000,247.31131081142328,247.31131081142328,0.00%
2680155000,256.9793786239252,256.5789021157503,0.01%
5271493000,258.7430408261405,257.63819754238045,0.02%
7852086000,257.6457059858037,257.6406651487519,0.03%
10428288000,257.4761817276554,257.60001165778306,0.04%
13006745000,257.5132318766945,257.58280378707406,0.05%
15590981000,258.05025959372654,257.66016838534773,0.06%
18190586000,259.5613447471185,257.93015683579426,0.07%
20768971000,257.4394752493504,257.8691390034245,0.08%
23343309000,257.06316607009694,257.7800071402295,0.09%
25916099000,256.918945311715,257.6942682862474,0.10%
28495678000,257.50088459750657,257.6767502190707,0.11%
31065645000,256.6898288497491,257.5948173458535,0.12%
33638658000,257.1603879367885,257.5615361080093,0.13%
36223283000,258.0981392434561,257.5997501962313,0.14%
38807023000,257.9413928192091,257.6224683599361,0.15%
41397817000,258.7372494836044,257.69195270172736,0.16%
43972705000,257.09760311517357,257.6570739311284,0.17%
46548522000,257.2260440950975,257.6331846376554,0.18%
49120285000,257.040462854757,257.60208403307223,0.19%
51689353000,256.5356621614811,257.5488713139877,0.20%
54252314000,255.89185049901272,257.4701083491449,0.21%
56837147000,258.0148103820931,257.49483032023795,0.22%
