CPUNano,CPU,AvgCPU,MemPerc
100633000,250.69820595069498,250.69820595069498,0.00%
2676929000,257.47190154996343,257.2106451392551,0.01%
5250928000,257.0476842663493,257.1307360924486,0.02%
7823973000,256.93153740950174,257.0651921801449,0.03%
10392546000,256.4656715337888,256.91675684732473,0.04%
12964911000,256.8506220091283,256.90363234118473,0.05%
15543790000,257.49756716286487,257.00198275178127,0.06%
18127691000,257.9757380796178,257.1403312861316,0.07%
20694602000,256.326183535745,257.03906541058944,0.08%
23269189000,257.0946424170785,257.04521346879534,0.09%
25832430000,255.9648523059292,256.9376064788394,0.10%
28394095000,255.7175819034641,256.82706046821187,0.11%
30955446000,255.81017426542104,256.7426134090067,0.12%
33528884000,256.94317728130113,256.75799616689636,0.13%
36109578000,257.7225302156926,256.8266902657767,0.14%
38685987000,257.2128664103235,256.85237277550004,0.15%
41258000000,256.8635521701599,256.8530696676173,0.16%
43810600000,254.8343255071758,256.73457159799,0.17%
46375045000,256.07314963237815,256.69790708309546,0.18%
48941178000,256.2586549346417,256.6748383686868,0.19%
51501516000,255.6323245772373,256.622810194564,0.20%
54058840000,255.3647049578958,256.5630146010906,0.21%
56631090000,256.8774212163715,256.5772786294032,0.22%
