CPUNano,CPU,AvgCPU,MemPerc
96672000,244.94367235560878,244.94367235560878,0.00%
2680930000,258.0591915642737,257.5618942628074,0.01%
5263747000,257.9011240798336,257.72823606935333,0.02%
7852033000,258.4393551833416,257.9622113309858,0.03%
10453726000,259.8120602358601,258.42012986970366,0.04%
13055872000,259.79120424571573,258.69224065161904,0.05%
15628234000,256.8908090228148,258.393995210283,0.06%
18217474000,258.5370770300359,258.4143216983325,0.07%
20804947000,258.3575464558525,258.4072593071543,0.08%
23372997000,256.3832969074971,258.1833201880766,0.09%
25964157000,258.788122177692,258.2435509505434,0.10%
28547874000,257.9672893239381,258.2185236223039,0.11%
31131330000,257.98755068784016,258.19934043066803,0.12%
33720461000,258.50676768824985,258.22291945126227,0.13%
36303823000,257.98040348874406,258.2056470684896,0.14%
38896932000,258.8884432494212,258.2510543965907,0.15%
41472178000,257.1838547961259,258.18452799347756,0.16%
44055049000,258.12894749141935,258.1812687446872,0.17%
46643032000,258.4521227654649,258.1962821708846,0.18%
49231000000,258.65864963925173,258.220546668556,0.19%
51829003000,259.43287430027914,258.28104652268513,0.20%
54399805000,256.9418714893556,258.2174461985936,0.21%
56973692000,257.0239218831544,258.1632876120942,0.22%
