CPUNano,CPU,AvgCPU,MemPerc
101769000,248.49149869681693,248.49149869681693,0.00%
2691990000,258.66088860487264,258.26132602824833,0.01%
5258916000,256.35036252471576,257.3250204995021,0.02%
7837767000,257.6334838038439,257.4264322407558,0.03%
10413216000,257.16768438320526,257.3623889669114,0.04%
12984000000,256.6500797616867,257.22104062264197,0.05%
15560636000,257.2917041385455,257.23273888689147,0.06%
18145752000,258.2704585547975,257.38006688523353,0.07%
20724750000,257.5270427395137,257.3983474922137,0.08%
23301095000,257.27057636258286,257.38421391126667,0.09%
25840498000,253.55357299097415,257.00264757214853,0.10%
28417235000,257.3064128497994,257.0301619618534,0.11%
30985119000,256.38546306792966,256.976609510476,0.12%
33560649000,257.19242188275365,256.9931586720137,0.13%
36141396000,257.6753902394108,257.0417549551225,0.14%
38723696000,257.86562787397963,257.09653127880546,0.15%
41293243000,256.80695998314957,257.07849312693577,0.16%
43857158000,256.0393202193921,257.0175103775671,0.17%
46428223000,256.7084988866177,257.00037872965527,0.18%
49006584000,257.4543469517942,257.02422324897384,0.19%
51577531000,256.71669416635774,257.0088766275646,0.20%
54151346000,256.89613380339085,257.0035157180474,0.21%
56708368000,255.31340950594458,256.92682600016667,0.22%
