CPU,MemUsage
48.284908315952684,8.937e+06 
7.47331727368158,737.2e+06 
7.1156491298395625,1.467e+09 
7.068116758573587,2.199e+09 
7.834077541716898,2.922e+09 
6.546392385131567,3.656e+09 
6.522700025061826,4.39e+09 
6.506895487181817,5.127e+09 
8.03431806884197,5.848e+09 
6.529315278039947,6.584e+09 
6.5796054393420915,7.318e+09 
7.522192738118474,8.047e+09 
17.621818534196073,8.699e+09 
17.852287240842454,9.351e+09 
17.920734359762054,9.999e+09 
18.52293554768104,10.65e+09 
18.253663400791257,11.29e+09 
17.94598668016709,11.95e+09 
19.067059312652827,12.59e+09 
18.34301612690333,13.24e+09 
17.44036523529102,13.89e+09 
17.219461637109067,14.55e+09 
17.293335232228166,15.2e+09 
17.503966636544575,15.85e+09 
17.4527166372216,16.51e+09 
19.610872158004693,17.15e+09 
17.267412170900982,17.8e+09 
17.30583542404517,18.45e+09 
17.247655190881193,19.11e+09 
19.765385125180867,19.74e+09 
28.95772703101731,20.3e+09 
35.37771350981625,12.39e+09 
