CPU,MemUsage
46.340325775518984,9.847e+06 
7.707276018992523,739.3e+06 
7.295577336333893,1.469e+09 
6.63595194026129,2.201e+09 
7.410033905027571,2.931e+09 
6.567517259804938,3.665e+09 
6.577428355472802,4.399e+09 
6.580404648660652,5.133e+09 
8.290841501223802,5.854e+09 
6.708690001765835,6.586e+09 
6.9237186389247,7.32e+09 
9.178876561716237,8.041e+09 
18.36729330596504,8.691e+09 
18.232563544390146,9.339e+09 
18.606408518419205,9.987e+09 
19.315718189720787,10.63e+09 
17.762609023786695,11.28e+09 
17.36077069629503,11.94e+09 
18.52422910160548,12.58e+09 
17.499743361134428,13.23e+09 
17.257686472589747,13.89e+09 
17.440834019080757,14.54e+09 
17.290066898125364,15.2e+09 
18.077810953471197,15.85e+09 
17.35192881021346,16.5e+09 
19.439583677629628,17.14e+09 
17.17926422720795,17.79e+09 
17.770504787438185,18.45e+09 
17.164214545604658,19.1e+09 
17.296198795425266,19.76e+09 
28.18191569536651,20.32e+09 
34.706057712453934,12.33e+09 
