CPU,MemUsage
47.904242112484916,6.484e+06 
7.374670721866224,737.2e+06 
7.080487502586632,1.467e+09 
6.7399337483794595,2.201e+09 
7.501889171147262,2.927e+09 
6.693366203567018,3.661e+09 
6.786240248470639,4.395e+09 
6.779281580760381,5.127e+09 
8.400553765510779,5.848e+09 
6.622156397251705,6.582e+09 
6.84390826481687,7.316e+09 
7.692183201831508,8.043e+09 
17.656201179327226,8.695e+09 
17.439619851560376,9.349e+09 
17.119223442851535,10.01e+09 
18.284894564517394,10.66e+09 
17.497470551581316,11.31e+09 
17.679991967618452,11.96e+09 
18.912462377344966,12.61e+09 
17.737139212656643,13.26e+09 
17.28871678689782,13.92e+09 
17.235851397583758,14.58e+09 
17.24935057023419,15.23e+09 
17.168928141602425,15.89e+09 
17.479036463652413,16.54e+09 
19.83253993412669,17.18e+09 
18.418880080201046,17.83e+09 
17.50705943952669,18.48e+09 
17.41728316596869,19.14e+09 
21.23041583738524,19.76e+09 
29.358284234429345,20.32e+09 
35.40845412237045,12.56e+09 
