CPU,MemUsage
244.63292390990296,401.4e+03 
264.47235891575787,3.891e+06 
263.903925630837,7.41e+06 
263.0475039990111,10.86e+06 
263.4993019710401,14.34e+06 
262.3129682491927,17.78e+06 
263.03682479098507,21.23e+06 
260.768964013851,24.65e+06 
263.47362636025,28.11e+06 
262.64831804720956,31.56e+06 
263.47548481329204,35e+06 
263.9453850637759,38.46e+06 
263.60625067502326,41.93e+06 
264.15260739687113,45.39e+06 
262.7685884569074,48.83e+06 
262.9709476876055,52.29e+06 
263.7502879802957,55.72e+06 
262.952170536062,59.18e+06 
261.1332551031574,62.61e+06 
262.2710918520256,66.03e+06 
262.627110105774,69.48e+06 
263.0952325465212,72.93e+06 
