CPU,MemUsage
239.79861825874136,413.7e+03 
262.16161269212546,3.867e+06 
261.94860431662516,7.328e+06 
262.7833421983506,10.81e+06 
262.438979930379,14.27e+06 
262.2905281879151,17.78e+06 
262.7904638611011,21.24e+06 
263.35222377243696,24.71e+06 
261.9380278594307,28.15e+06 
262.473920603147,31.6e+06 
261.33601887774233,35.04e+06 
262.5567607145125,38.5e+06 
263.70536241786186,41.96e+06 
262.74391874059603,45.41e+06 
261.34978950343924,48.87e+06 
262.4606764440133,52.33e+06 
263.0121749978475,55.78e+06 
260.7115391031811,59.21e+06 
262.19449489957725,62.68e+06 
263.12237939087976,66.13e+06 
262.51035688379835,69.6e+06 
261.90998184448733,73.08e+06 
