CPU,MemUsage
246.02829457070862,405.5e+03 
263.4859421326197,3.961e+06 
262.80687935247033,7.41e+06 
262.49806266670254,10.86e+06 
262.5516583963681,14.32e+06 
262.54550823160235,17.76e+06 
262.4446832413432,21.19e+06 
262.6281203679133,24.63e+06 
261.95991224354924,28.07e+06 
261.9112241228749,31.53e+06 
262.49614786029707,34.96e+06 
263.0087280772291,38.43e+06 
263.4193739375276,41.9e+06 
263.04269612453265,45.35e+06 
262.5727075218798,48.81e+06 
261.2595161291201,52.24e+06 
262.5590412102595,55.71e+06 
261.5558272285532,59.16e+06 
263.7839574478557,62.61e+06 
262.8224170599758,66.08e+06 
262.57366432619153,69.52e+06 
261.9428801232626,72.98e+06 
