CPU,MemUsage
251.57218125440596,417.8e+03 
263.27295525515495,3.92e+06 
262.7133878801219,7.397e+06 
261.53061323226706,10.84e+06 
263.0121070181733,14.32e+06 
263.44579285992813,17.77e+06 
262.92406447643543,21.21e+06 
263.7660719359696,24.66e+06 
263.77599550083625,28.14e+06 
263.769967881233,31.61e+06 
261.98190994071746,35.04e+06 
262.66703922014534,38.49e+06 
262.52429459685385,41.95e+06 
262.3980447627387,45.4e+06 
262.818107279324,48.86e+06 
262.4174962404976,52.31e+06 
263.2501900225134,55.76e+06 
263.4889811157419,59.22e+06 
262.2547784826936,62.67e+06 
262.9978905160651,66.14e+06 
262.1290526727305,69.6e+06 
261.812413468016,73.04e+06 
