CPU,MemUsage
248.23223255869866,405.5e+03 
262.42093124935747,3.863e+06 
263.7489561575089,7.397e+06 
263.579303452561,10.86e+06 
262.1236586933324,14.3e+06 
262.40353126980756,17.75e+06 
261.1424577983681,21.19e+06 
261.57962126850964,24.64e+06 
262.2106440117975,28.08e+06 
261.23517045396864,31.51e+06 
262.09920881389877,34.96e+06 
262.80844023079794,38.4e+06 
262.43364280279724,41.85e+06 
262.2649671324955,45.25e+06 
263.37108768918245,48.72e+06 
262.5425667759427,52.17e+06 
261.8758957232701,55.62e+06 
261.86604201549824,59.07e+06 
261.0628969605248,62.5e+06 
263.21498266738485,65.96e+06 
260.0830740577804,69.39e+06 
261.58919032243034,72.83e+06 
