CPU,MemUsage
245.71923642488454,393.2e+03 
262.2238375315113,3.846e+06 
261.96532414058333,7.324e+06 
260.1440233705093,10.81e+06 
260.8319750633428,14.26e+06 
261.26486917922966,17.7e+06 
261.5123664077458,21.14e+06 
260.76230394064174,24.57e+06 
262.06184939497126,28.02e+06 
261.03222427067607,31.49e+06 
262.80742516391695,34.95e+06 
262.21882976418004,38.41e+06 
262.17209273202366,41.87e+06 
261.7047197580652,45.33e+06 
262.30951179261643,48.78e+06 
261.9260423093187,52.25e+06 
261.2669140029318,55.69e+06 
262.2684057286472,59.15e+06 
260.5143885953058,62.58e+06 
263.4641529835757,66.04e+06 
262.6853987182127,69.5e+06 
262.3714647013362,72.95e+06 
