CPU,MemUsage
251.48480514680327,401.4e+03 
261.01933283496794,3.899e+06 
261.0594082616066,7.336e+06 
263.69836335031664,10.81e+06 
262.8408295765369,14.25e+06 
262.9643056271477,17.71e+06 
262.6931588379621,21.16e+06 
262.2831495093924,24.59e+06 
262.40899898544023,28.04e+06 
262.13896470088065,31.47e+06 
263.06910564609876,34.93e+06 
261.8117620099289,38.35e+06 
263.51511464916666,41.8e+06 
260.73788213911973,45.22e+06 
262.1568652930253,48.66e+06 
263.5594527445663,52.12e+06 
262.98365273119157,55.57e+06 
262.53241439059235,59e+06 
262.54670302936955,62.42e+06 
261.5560148257966,65.86e+06 
262.78792024058095,69.3e+06 
262.85060001540666,72.75e+06 
