CPU,MemUsage
248.73670705753165,401.4e+03 
261.0116160336505,3.875e+06 
261.286467408708,7.377e+06 
260.3507406643034,10.83e+06 
262.3669715115021,14.27e+06 
259.4849401804984,17.71e+06 
260.42158508551205,21.14e+06 
261.1910473727997,24.59e+06 
262.54533761773223,28.03e+06 
259.40587498221265,31.45e+06 
260.4359441590965,34.9e+06 
262.6687694029421,38.35e+06 
260.6784727624029,41.81e+06 
261.10256090474337,45.26e+06 
262.2902322729391,48.71e+06 
261.068084113584,52.16e+06 
262.3485597704318,55.6e+06 
260.9735186319339,59.03e+06 
259.84531980641896,62.44e+06 
262.9520200060565,65.89e+06 
261.0188359629393,69.32e+06 
258.5732395722886,72.74e+06 
